name,accepts_ebt,distributes_health_bucks,open_year_round,address,borough,latitude,longitude,point_geometry_wgs84
Harvest Home Hunts Point Farm Stand,Yes,true,false,Southern Blvd bet Barretto & Tiffany Sts. (Luis Suarez Memorial Park),Bronx,40.81894,-73.893492,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x005\xCF\x11\xF9.yR\xC0p\xB1\xA2\x06\xD3hD@
The Market at Preston,Yes,false,false,2780 Schurz Ave. (Preston High School),Bronx,40.814256,-73.819339,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x97U\xD8\x0CptR\xC0/Ie\x8A9hD@
Seeds in the Middle - Flatbush - Hillel Plaza Farm Stand,Yes,true,false,Flatbush/Nostrand Triangle,Brooklyn,40.63262,-73.947439,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x1E\xFD/\xD7\xA2|R\xC0\xD4e1\xB1\xF9PD@
Seeds in the Middle - Flabush - Ditmas Park Farm Stand,Yes,true,false,330 Rugby Rd.,Brooklyn,40.641937,-73.965523,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00K\x22\xFB \xCB}R\xC0\xD4\x8B\xDA\xFD*RD@
McCarren Park Greenmarket,Yes,true,true,N. 12th bet Union & Driggs,Brooklyn,40.719219,-73.952479,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x1D\xC8zj\xF5|R\xC0\xB8\xD4A^\x0F\x5CD@
Bensonhurst Greenmarket,Yes,true,false,18th Ave. bet 81st & 82nd Sts.,Brooklyn,40.609588,-73.999677,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x0Fd=\xB5\xFA\x7FR\xC0^\x04\xC6\xFA\x06ND@
4th Ave Sunset Park Greenmarket,Yes,true,false,4th Ave. 60th St.,Brooklyn,40.647975,-74.003744,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x99cyW=\x80R\xC0\x15\xD0D\xD8\xF0RD@
People in Need Farmstand,yes,false,true,114 Beverly Road,Brooklyn,40.642934,-73.978827,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00F\x5C\x00\x1A\xA5~R\xC0D\xBEK\xA9KRD@
Myrtle-Wyckoff Greenmarket,Yes,true,false,Wyckoff bet Gates & Myrtle Aves,Queens,40.699798,-73.911523,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00Q\xA3\x90dVzR\xC05\xE7\x19\xFB\x92YD@
Sunnyside Greenmarket,Yes,true,true,Skillman Ave. & 43rd St.,Queens,40.74701,-73.92173,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00~o\xD3\x9F\xFDzR\xC0z\xE4\x0F\x06\x9E_D@
Queens Farm - Queens Borough Hall,Yes,true,false,120-55 Queens Blvd.,Queens,40.713318,-73.82858,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA9\x87ht\x07uR\xC0\xF7\xD2\x14\x01N[D@
St. Albans Farmers Market,TBD,false,false,St. Albans Long Island Railroad Commuter Parking Lot - Linden Blvd. bet 180th & Newburg Sts.,Queens,40.69225,-73.766682,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA4\x1BaQ\x11qR\xC0\xF7S\xE3\xA5\x9BXD@
Heritage Farm Stand (Gazebo Road),Yes,true,false,1000 Richmond Terrace (Gazebo Road),Staten Island,40.645075,-74.104753,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x1BJ\xEDE\xB4\x86R\xC0\xCD;N\xD1\x91RD@
Harvest Home East Harlem Farmers Market,Yes,true,false,E. 104th St. & 3rd Ave.,Manhattan,40.7903,-73.945635,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xFD\xBC\xA9H\x85|R\xC0\xB0\x03\xE7\x8C(eD@
Fulton Stall Market (indoor farmers market),Yes,true,true,91 South St.,Manhattan,40.705865,-74.003769,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00F\xEFT\xC0=\x80R\xC0\x0D2\xC9\xC8YZD@
94th Street Greenmarket,Yes,true,false,E. 94th St. & 1st Ave.,Manhattan,40.781968,-73.945267,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00<\xBF(A\x7F|R\xC0`B\x05\x87\x17dD@
Two Bridges Youth Market,Yes,true,false,50 Madison St.,Manhattan,40.711958,-73.997825,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00f\x88c]\xDC\x7FR\xC0\x13\x10\x93p![D@
Harvest Home Metropolitan Hospital Farmers Market,Yes,true,false,E. 97th St. & 2nd Ave.,Manhattan,40.784943,-73.946589,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x007p\x07\xEA\x94|R\xC0\xAF\x1C!\x03ydD@
Project EATS Farm Stand at Essex Crossing,Yes,true,false,115 Delancey St.,Manhattan,40.719322,-73.987817,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xB4[\xCBd8\x7FR\xC0\x8A\xA5H\xBE\x12\x5CD@
Bronx Park East Farmers Market,Yes,true,false,2222 Bronx Park E. (near Bradley Playground),Bronx,40.851713,-73.867786,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00N{J\xCE\x89wR\xC0\xFDI|\xEE\x04mD@
La Familia Verde Farmers Market / Highbridge Farmers Market,Yes,true,false,1430 Plimpton Ave.,Bronx,40.843627,-73.922243,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xC1\xFD\x80\x07\x06{R\xC0\xE2\x823\xF8\xFBkD@
Riverdale Neighborhood House,Yes,true,false,5521 Mosholu Ave.,Bronx,40.903039,-73.90375,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA4p=\x0A\xD7yR\xC0\x9C\x01.\xC8\x96sD@
Eastern Parkway Farm Stand,TBD,false,false,1420 Eastern Parkway,Brooklyn,40.668787,-73.921582,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00D\xA5\x113\xFBzR\xC0\xB8~\xFA\xCF\x9AUD@
Domino Park Greenmarket,Yes,true,false,River St. bet S 1st St. and S. 3rd St.,Brooklyn,40.715385,-73.967441,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xCF\xF3\xA7\x8D\xEA}R\xC0F\x86U\xBC\x91[D@
RiseBoro Farmers Market at Maria Hernandez Park,Yes,true,false,Knickerbocker Ave. bet Sudyam St. & Starr St.,Brooklyn,40.702811,-73.92539,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xE8\x82\xFA\x969{R\xC0q\x22\xFA\xB5\xF5YD@
Woodhull Hospital Farmstand,Yes,true,false,Broadway & Graham Ave.,Brooklyn,40.701022,-73.942202,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00s\x0E\x9E\x09M|R\xC0d\xE3\xC1\x16\xBBYD@
Harvest Home Brower Park Farm Stand,Yes,true,false,Brooklyn Ave. & Prospect Place,Brooklyn,40.674,-73.944544,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x83h\xADhs|R\xC0\x85\xC0\xCA\xA1EVD@
Seeds in the Middle - Brownsville I.S. 392 Farm Stand,Yes,true,false,104 Sutter Ave.,Brooklyn,40.665965,-73.918107,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xA3\xCE\xDCC\xC2zR\xC0\xEB\xA3SW>UD@
Urban Oasis,No,false,false,681 Clarkson Ave.,Brooklyn,40.657269,-73.934066,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x8E\x93\xC2\xBC\xC7{R\xC0Y\xD6\xFDc!TD@
Seeds in the Middle - Crown Heights - Clara Barton HS Farm Stand,Yes,true,false,901 Classon Ave.,Brooklyn,40.669567,-73.961962,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xAA\x7F\x10\xC9\x90}R\xC0\x8C\xBD\x17_\xB4UD@
Black Radish Farmers Market,Yes,true,false,12020 Flatlands Ave.,Brooklyn,40.651146,-73.888606,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xE1A\xB3\xEB\xDExR\xC0\xEBu\x8B\xC0XSD@
PS 11 Farm Market,No,false,false,320 W. 21st St.,Manhattan,40.744349,-74.000253,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00u\xAE(%\x04\x80R\xC0\xBC\xE7\xF9\xD3F_D@
Uptown Good Food Farm Stand,Yes,true,false,330 St. Nicholas Ave. (St. Nicholas Miracle Garden),Manhattan,40.81172,-73.951795,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\xC4_\x935\xEA|R\xC0(\xC1\xE2p\xE6gD@
